url_length,dots_count,has_at,has_double_slash,has_hyphen_domain,is_ip,has_https,has_suspicious_kw,subdomain_count,is_shortened,label
39,2,0,0,0,0,1,0,1,1,0
37,2,0,0,0,0,1,0,1,0,0
45,2,0,0,0,0,1,0,1,0,0
36,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
41,2,0,0,0,0,1,0,1,0,0
29,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,1,0
30,2,0,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,1,1,0
43,2,0,0,0,0,1,0,1,1,0
36,2,0,0,0,0,1,0,1,0,0
42,2,0,0,0,0,1,0,1,1,0
37,2,0,0,0,0,1,0,1,0,0
40,2,0,0,0,0,1,0,1,0,0
34,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,1,0
42,2,0,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
29,2,0,0,0,0,1,0,1,0,0
40,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
41,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,1,0
39,2,0,0,0,0,1,0,1,0,0
42,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
36,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,1,0
48,2,0,0,0,0,1,0,1,0,0
29,2,0,0,0,0,1,0,1,0,0
29,2,0,0,0,0,1,0,1,1,0
31,2,0,0,0,0,1,0,1,0,0
45,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
40,2,0,0,0,0,1,0,1,0,0
43,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,1,0
28,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
41,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
34,2,0,0,0,0,1,0,1,1,0
42,2,0,0,0,0,1,0,1,0,0
40,2,0,0,0,0,1,0,1,1,0
32,2,0,0,0,0,1,0,1,0,0
43,2,0,0,0,0,1,0,1,0,0
29,2,0,0,0,0,1,0,1,1,0
46,2,0,0,0,0,1,0,1,0,0
30,2,0,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
40,2,0,0,0,0,1,0,1,0,0
30,2,0,0,0,0,1,0,1,1,0
44,2,0,0,0,0,1,0,1,0,0
42,2,0,0,0,0,1,0,1,0,0
29,2,0,0,0,0,1,0,1,1,0
40,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
34,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,1,0
39,2,0,0,0,0,1,0,1,0,0
36,2,0,0,0,0,1,0,1,1,0
38,2,0,0,0,0,1,0,1,0,0
28,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,1,0
43,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
42,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,1,0
35,2,0,0,0,0,1,0,1,0,0
44,2,0,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
43,2,0,0,0,0,1,0,1,1,0
32,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
42,2,0,0,0,0,1,0,1,0,0
41,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
28,2,0,0,0,0,1,0,1,0,0
42,2,0,0,0,0,1,0,1,0,0
45,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,0,0
29,2,0,0,0,0,1,0,1,0,0
30,2,0,0,0,0,1,0,1,0,0
34,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
30,2,0,0,0,0,1,0,1,0,0
36,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
34,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
30,2,0,0,0,0,1,0,1,1,0
40,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
45,2,0,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,1,1,0
35,2,0,0,0,0,1,0,1,0,0
46,2,0,0,0,0,1,0,1,0,0
36,2,0,0,0,0,1,0,1,1,0
48,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,1,0
38,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,1,0
36,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,0,0
41,2,0,0,0,0,1,0,1,0,0
49,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
41,2,0,0,0,0,1,0,1,0,0
28,2,0,0,0,0,1,0,1,0,0
28,2,0,0,0,0,1,0,1,0,0
36,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
36,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
30,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,1,0
36,2,0,0,0,0,1,0,1,0,0
48,2,0,0,0,0,1,0,1,0,0
42,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
40,2,0,0,0,0,1,0,1,0,0
28,2,0,0,0,0,1,0,1,0,0
44,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
43,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,0,0
29,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,1,0
34,2,0,0,0,0,1,0,1,1,0
35,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,0,0
28,2,0,0,0,0,1,0,1,0,0
30,2,0,0,0,0,1,0,1,0,0
32,2,0,0,0,0,1,0,1,1,0
41,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
30,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,1,0
38,2,0,0,0,0,1,0,1,0,0
35,2,0,0,0,0,1,0,1,1,0
46,2,0,0,0,0,1,0,1,0,0
45,2,0,0,0,0,1,0,1,0,0
28,2,0,0,0,0,1,0,1,0,0
37,2,0,0,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
33,2,0,0,0,0,1,0,1,0,0
39,2,0,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,1,1,0
